,dst,src
532,80,20
533,80,30
534,80,36
535,80,37
536,80,75
537,80,119
538,80,141
539,81,35
540,82,0
541,82,3
542,82,5
543,82,6
544,82,9
545,82,19
546,82,28
547,82,30
548,82,50
549,82,55
550,82,56
551,82,76
552,82,95
553,82,110
554,82,123
555,82,125
556,82,137
557,83,11
558,83,72
559,83,96
560,83,112
561,84,25
562,84,41
563,84,87
564,84,107
565,85,34
566,85,58
567,85,59
568,85,87
569,86,29
570,86,58
571,86,89
572,86,94
573,87,39
574,87,58
575,87,59
576,87,84
577,87,85
578,87,94
579,88,13
580,88,23
581,88,63
582,88,64
583,88,65
584,88,78
585,88,93
586,88,116
587,88,134
588,89,22
589,89,29
590,89,86
591,90,7
592,90,44
593,90,54
594,90,98
595,90,114
596,90,131
597,91,9
598,91,19
599,91,26
600,91,33
601,91,50
602,91,67
603,91,111
604,91,122
605,91,139
606,92,99
607,93,13
608,93,32
609,93,60
610,93,64
611,93,65
612,93,78
613,93,88
614,93,116
615,93,134
616,94,58
617,94,59
618,94,66
619,94,86
620,94,87
621,95,6
622,95,16
623,95,30
624,95,37
625,95,50
626,95,55
627,95,76
628,95,82
629,95,110
630,95,119
631,95,125
632,96,24
633,96,83
634,96,132
635,97,36
636,97,46
637,98,7
638,98,43
639,98,44
640,98,54
641,98,70
642,98,90
643,98,117
644,98,128
645,98,131
646,98,135
647,99,92
648,100,6
649,100,17
650,100,28
651,100,33
652,100,40
653,100,62
654,100,67
655,100,69
656,100,106
657,100,110
658,100,111
659,100,119
660,100,122
661,100,123
662,100,127
663,100,137
664,100,139
665,101,21
666,102,12
667,102,41
668,102,66
669,102,130
670,103,0
671,103,5
672,103,28
673,103,48
674,103,56
675,103,76
676,103,124
677,104,25
678,104,129
679,105,1
680,105,2
681,106,14
682,106,17
683,106,40
684,106,100
685,106,118
686,106,139
687,107,25
688,107,84
689,108,17
690,108,20
691,109,21
692,110,0
693,110,5
694,110,6
695,110,8
696,110,28
697,110,30
698,110,37
699,110,40
700,110,46
701,110,55
702,110,56
703,110,69
704,110,76
705,110,82
706,110,95
707,110,100
708,110,119
709,110,123
710,110,125
711,110,127
712,110,137
713,111,5
714,111,6
715,111,9
716,111,26
717,111,33
718,111,40
719,111,62
720,111,67
721,111,91
722,111,100
723,111,122
724,111,123
725,111,137
726,111,139
727,112,10
728,112,11
729,112,60
730,112,72
731,112,83
732,113,22
733,113,41
734,113,66
735,113,126
736,113,130
737,114,1
738,114,15
739,114,44
740,114,90
741,114,121
742,114,131
743,115,18
744,115,35
745,116,13
746,116,23
747,116,60
748,116,65
749,116,78
750,116,88
751,116,93
752,116,134
753,117,7
754,117,98
755,117,128
756,117,135
757,118,14
758,118,17
759,118,106
760,119,6
761,119,8
762,119,28
763,119,30
764,119,33
765,119,37
766,119,40
767,119,46
768,119,55
769,119,69
770,119,75
771,119,80
772,119,95
773,119,100
774,119,110
775,119,123
776,119,125
777,119,127
778,119,137
779,120,13
780,120,32
781,120,64
782,120,65
783,120,134
784,121,1
785,121,2
786,121,15
787,121,114
788,121,131
789,122,6
790,122,9
791,122,26
792,122,33
793,122,50
794,122,67
795,122,91
796,122,100
797,122,111
798,122,137
799,122,139
800,123,0
801,123,5
802,123,6
803,123,28
804,123,33
805,123,37
806,123,40
807,123,56
808,123,62
809,123,67
810,123,69
811,123,82
812,123,100
813,123,110
814,123,111
815,123,119
816,123,127
817,123,137
818,124,28
819,124,46
820,124,69
821,124,103
822,125,0
823,125,6
824,125,28
825,125,30
826,125,37
827,125,55
828,125,56
829,125,76
830,125,82
831,125,95
832,125,110
833,125,119
834,125,137
835,126,22
836,126,41
837,126,113
838,126,130
839,127,8
840,127,17
841,127,20
842,127,30
843,127,33
844,127,36
845,127,37
846,127,40
847,127,100
848,127,110
849,127,119
850,127,123
851,127,137
852,127,139
853,128,7
854,128,98
855,128,117
856,128,135
857,129,25
858,129,34
859,129,104
860,130,12
861,130,22
862,130,41
863,130,66
864,130,102
865,130,113
866,130,126
867,131,7
868,131,44
869,131,54
870,131,90
871,131,98
872,131,114
873,131,121
874,132,24
875,132,31
876,132,32
877,132,96
878,133,4
879,134,13
880,134,23
881,134,63
882,134,64
883,134,65
884,134,78
885,134,88
886,134,93
887,134,116
888,134,120
889,135,7
890,135,35
891,135,43
892,135,54
893,135,70
894,135,98
895,135,117
896,135,128
897,136,58
898,137,0
899,137,3
900,137,5
901,137,6
902,137,9
903,137,26
904,137,28
905,137,30
906,137,33
907,137,37
908,137,40
909,137,55
910,137,56
911,137,62
912,137,67
913,137,69
914,137,82
915,137,100
916,137,110
917,137,111
918,137,119
919,137,122
920,137,123
921,137,125
922,137,127
923,138,39
924,138,52
925,139,14
926,139,17
927,139,33
928,139,91
929,139,100
930,139,106
931,139,111
932,139,122
933,139,127
934,140,41
935,141,8
936,141,20
937,141,30
938,141,75
939,141,80
