,dst,src
106,129,106
106,121,106
106,125,106
107,117,107
107,58,107
107,111,107
107,84,107
107,0,107
108,11,108
108,139,108
108,67,108
108,17,108
108,138,108
109,75,109
109,54,109
109,85,109
109,36,109
109,81,109
110,131,110
110,4,110
110,49,110
110,99,110
110,65,110
111,105,111
111,107,111
111,117,111
111,126,111
111,61,111
112,125,112
112,28,112
112,129,112
112,90,112
112,35,112
113,89,113
113,37,113
113,3,113
113,76,113
113,120,113
114,82,114
114,23,114
114,30,114
114,80,114
114,95,114
115,102,115
115,123,115
115,116,115
115,64,115
115,62,115
116,64,116
116,115,116
116,53,116
116,130,116
116,102,116
117,107,117
117,58,117
117,0,117
117,84,117
117,101,117
118,29,118
118,7,118
118,85,118
118,35,118
118,94,118
119,12,119
119,77,119
119,69,119
119,134,119
119,14,119
120,89,120
120,3,120
120,77,120
120,113,120
120,37,120
121,129,121
121,99,121
121,90,121
121,131,121
121,110,121
122,136,122
122,27,122
122,68,122
122,4,122
122,49,122
123,102,123
123,87,123
123,115,123
123,62,123
123,45,123
124,85,124
124,94,124
124,29,124
124,140,124
124,75,124
125,112,125
125,35,125
125,28,125
125,32,125
125,40,125
126,65,126
126,49,126
126,131,126
126,32,126
126,122,126
127,134,127
127,69,127
127,77,127
127,119,127
127,98,127
128,1,128
128,24,128
128,103,128
128,33,128
128,74,128
129,65,129
129,99,129
129,32,129
129,28,129
129,121,129
130,43,130
130,53,130
130,87,130
130,62,130
130,55,130
131,65,131
131,99,131
131,110,131
131,4,131
131,49,131
132,95,132
132,26,132
132,71,132
132,104,132
132,113,132
133,10,133
133,63,133
133,37,133
133,9,133
133,6,133
134,69,134
134,12,134
134,6,134
134,119,134
134,97,134
135,93,135
135,85,135
135,45,135
135,55,135
135,36,135
136,27,136
136,122,136
136,49,136
136,4,136
136,31,136
137,51,137
137,140,137
137,124,137
137,38,137
137,54,137
138,67,138
138,25,138
138,105,138
138,16,138
138,17,138
139,13,139
139,67,139
139,16,139
139,108,139
139,11,139
140,51,140
140,94,140
140,124,140
140,15,140
140,54,140
