,0,1
0,0,5
1,0,6
2,0,28
3,0,30
4,0,37
5,0,40
6,0,46
7,0,48
8,0,69
9,0,75
10,0,76
11,0,86
12,0,94
13,0,103
14,0,110
15,0,123
16,0,125
17,0,136
18,0,137
19,1,2
20,1,34
21,1,59
22,1,85
23,1,97
24,1,102
25,1,112
26,2,1
27,2,34
28,2,37
29,2,59
30,2,75
31,2,102
32,2,108
33,2,129
34,3,19
35,3,82
36,3,89
37,4,15
38,4,38
39,4,70
40,4,90
41,4,114
42,4,121
43,5,0
44,5,6
45,5,28
46,5,32
47,5,33
48,5,62
49,5,66
50,5,69
51,5,86
52,5,110
53,5,111
54,5,123
55,5,127
56,5,137
57,6,0
58,6,5
59,6,28
60,6,30
61,6,32
62,6,40
63,6,48
64,6,55
65,6,56
66,6,62
67,6,76
68,6,82
69,6,86
70,6,94
71,6,110
72,6,111
73,6,119
74,6,125
75,6,127
76,6,136
77,6,137
78,6,141
79,7,38
80,7,70
81,7,134
82,7,135
83,8,9
84,8,20
85,8,30
86,8,36
87,8,46
88,8,52
89,8,58
90,8,119
91,9,8
92,9,16
93,9,22
94,9,26
95,9,29
96,9,33
97,9,36
98,9,50
99,9,91
100,9,100
101,9,110
102,9,119
103,9,126
104,9,130
105,10,11
106,10,23
107,10,134
108,11,10
109,11,13
110,11,23
111,11,60
112,11,72
113,11,98
114,11,134
115,12,68
116,12,118
117,13,11
118,13,60
119,13,70
120,13,78
121,13,93
122,13,98
123,13,120
124,13,134
125,13,135
126,14,68
127,15,4
128,15,35
129,15,60
130,15,70
131,15,121
132,16,9
133,16,36
134,16,52
135,16,80
136,17,62
137,17,66
138,17,68
139,17,106
140,17,118
141,17,127
142,17,139
143,19,3
144,19,22
145,20,8
146,20,30
147,20,36
148,20,37
149,20,58
150,20,80
151,20,129
152,21,92
153,22,9
154,22,19
155,22,26
156,22,33
157,22,41
158,22,50
159,22,91
160,22,100
161,22,122
162,22,126
163,22,130
164,22,137
165,23,10
166,23,11
167,23,72
168,23,98
169,26,9
170,26,22
171,26,28
172,26,29
173,26,33
174,26,50
175,26,66
176,26,67
177,26,69
178,26,91
179,26,100
180,26,119
181,26,122
182,26,126
183,26,130
184,26,132
185,27,72
186,28,0
187,28,5
188,28,6
189,28,26
190,28,29
191,28,30
192,28,32
193,28,33
194,28,36
195,28,37
196,28,39
197,28,46
198,28,48
199,28,50
200,28,62
201,28,66
202,28,67
203,28,69
204,28,76
205,28,86
206,28,94
207,28,100
208,28,103
209,28,110
210,28,111
211,28,119
212,28,123
213,28,125
214,28,127
215,28,136
216,28,137
217,29,9
218,29,26
219,29,28
220,29,33
221,29,36
222,29,41
223,29,50
224,29,66
225,29,86
226,29,100
227,29,110
228,29,119
229,29,126
230,29,130
231,29,132
232,30,0
233,30,6
234,30,8
235,30,20
