,0,1
0,0,94
1,0,136
2,0,6
3,0,28
4,0,86
5,1,59
6,1,97
7,1,85
8,1,2
9,1,112
10,2,34
11,2,1
12,2,59
13,2,129
14,2,102
15,3,19
16,3,89
17,3,82
18,3,22
19,3,137
20,4,121
21,4,114
22,4,15
23,4,38
24,4,90
25,5,111
26,5,137
27,5,123
28,5,127
29,5,28
30,6,86
31,6,28
32,6,48
33,6,30
34,6,141
35,7,70
36,7,38
37,7,135
38,7,134
39,7,120
40,8,30
41,8,119
42,8,36
43,8,58
44,8,52
45,9,91
46,9,26
47,9,119
48,9,33
49,9,50
50,10,11
51,10,23
52,10,134
53,10,98
54,10,13
55,11,10
56,11,134
57,11,23
58,11,13
59,11,72
60,12,68
61,12,118
62,12,106
63,12,108
64,12,18
65,13,70
66,13,120
67,13,98
68,13,93
69,13,11
70,14,68
71,14,17
72,14,139
73,14,18
74,14,106
75,15,4
76,15,121
77,15,60
78,15,35
79,15,70
80,16,52
81,16,80
82,16,9
83,16,36
84,16,113
85,17,139
86,17,118
87,17,68
88,17,127
89,17,106
90,18,130
91,18,12
92,18,122
93,18,41
94,18,126
95,19,3
96,19,22
97,19,122
98,19,89
99,19,9
100,20,129
101,20,80
102,20,58
103,20,36
104,20,8
105,21,92
106,21,99
107,21,101
108,21,47
109,21,81
110,22,33
111,22,26
112,22,130
113,22,122
114,22,9
115,23,10
116,23,11
117,23,72
118,23,98
119,23,134
120,24,31
121,24,35
122,24,81
123,24,128
124,24,135
125,25,80
126,25,104
127,25,14
128,25,140
129,25,8
130,26,50
131,26,9
132,26,132
133,26,100
134,26,22
135,27,72
136,27,23
137,27,51
138,27,98
139,27,114
140,28,137
141,28,69
142,28,86
143,28,123
144,28,32
145,29,126
146,29,130
147,29,100
148,29,26
149,29,86
150,30,36
151,30,125
152,30,110
153,30,8
154,30,119
155,31,81
156,31,115
157,31,24
158,31,35
159,31,128
160,32,28
161,32,137
162,32,6
163,32,62
164,32,5
165,33,130
166,33,22
167,33,126
168,33,127
169,33,91
170,34,2
171,34,1
172,34,108
173,34,40
174,34,129
175,35,135
176,35,60
177,35,70
178,35,15
179,35,120
180,36,110
181,36,30
182,36,8
183,36,37
184,36,52
185,37,110
186,37,58
187,37,75
188,37,102
189,37,36
190,38,70
191,38,114
192,38,90
193,38,7
194,38,120
195,39,76
196,39,125
197,39,110
198,39,54
199,39,48
200,40,62
201,40,66
202,40,86
203,40,136
204,40,127
205,41,130
206,41,126
207,41,22
208,41,29
209,41,33
210,42,45
211,42,34
212,42,40
213,42,2
214,42,49
215,43,100
216,43,67
217,43,32
218,43,50
219,43,132
220,44,131
221,44,56
222,44,88
223,44,48
224,44,49
225,45,42
226,45,71
227,45,34
228,45,25
229,45,49
230,46,136
231,46,119
232,46,58
233,46,69
234,46,0
235,47,115
236,47,96
237,47,101
238,47,31
239,47,83
240,48,56
241,48,125
242,48,55
243,48,82
244,48,6
245,49,131
246,49,44
247,49,124
248,49,63
249,49,40
250,50,100
251,50,67
252,50,119
253,50,26
254,50,132
255,51,27
256,51,23
257,51,60
258,51,10
259,51,64
260,52,36
261,52,16
262,52,30
263,52,80
264,52,8
265,53,71
266,53,73
267,53,74
268,53,25
269,53,45
270,54,39
271,54,76
272,54,56
273,54,65
274,54,48
275,55,82
276,55,48
277,55,125
278,55,76
279,55,56
280,56,48
281,56,95
282,56,125
283,56,55
284,56,54
285,57,7
286,57,38
287,57,90
288,57,77
289,57,70
290,58,37
291,58,102
292,58,136
293,58,46
294,58,110
295,59,1
296,59,112
297,59,2
298,59,108
299,59,97
300,60,35
301,60,135
302,60,13
303,60,15
304,60,11
305,61,87
306,61,59
307,61,85
308,61,79
309,61,1
310,62,127
311,62,66
312,62,50
313,62,111
314,62,28
315,63,124
316,63,85
317,63,97
318,63,131
319,63,136
320,64,114
321,64,98
322,64,13
323,64,93
324,64,11
325,65,54
326,65,88
327,65,56
328,65,117
329,65,82
330,66,132
331,66,127
332,66,62
333,66,100
334,66,130
335,67,50
336,67,100
337,67,43
338,67,26
339,67,32
340,68,112
341,68,118
342,68,17
343,68,12
344,68,14
345,69,28
346,69,123
347,69,137
348,69,86
349,69,127
350,70,38
351,70,13
352,70,135
353,70,120
354,70,7
355,71,73
356,71,53
357,71,45
358,71,109
359,71,42
360,72,23
361,72,11
362,72,98
363,72,27
364,72,114
365,73,74
366,73,71
367,73,131
368,73,117
369,73,53
370,74,61
371,74,87
372,74,73
373,74,131
374,74,85
375,75,37
376,75,30
377,75,110
378,75,36
379,75,95
380,76,39
381,76,125
382,76,82
383,76,48
384,76,94
385,77,38
386,77,114
387,77,70
388,77,4
389,77,90
390,78,120
391,78,70
392,78,13
393,78,134
394,78,38
395,79,59
396,79,108
397,79,1
398,79,112
399,79,61
400,80,20
401,80,16
402,80,36
403,80,52
404,80,113
405,81,31
406,81,35
407,81,70
408,81,24
409,81,98
410,82,55
411,82,48
412,82,76
413,82,89
414,82,125
415,83,96
416,83,115
417,83,15
418,83,35
419,83,60
420,84,107
421,84,59
422,84,12
423,84,94
424,84,2
425,85,97
426,85,1
427,85,46
428,85,58
429,85,136
430,86,28
431,86,110
432,86,6
433,86,94
434,86,137
435,87,61
436,87,85
437,87,129
438,87,94
439,87,1
440,88,131
441,88,65
442,88,124
443,88,44
444,88,56
445,89,3
446,89,82
447,89,76
448,89,39
449,89,137
450,90,38
451,90,114
452,90,4
453,90,121
454,90,78
455,91,9
456,91,33
457,91,26
458,91,50
459,91,126
460,92,21
461,92,101
462,92,99
463,92,81
464,92,47
465,93,13
466,93,98
467,93,120
468,93,134
469,93,64
470,94,86
