,dst,src
532,106,100
533,106,40
534,106,14
535,107,84
536,107,25
537,107,34
538,107,61
539,107,113
540,108,20
541,108,17
542,108,127
543,108,118
544,108,36
545,109,21
546,109,101
547,109,79
548,109,71
549,109,18
550,110,6
551,110,30
552,110,28
553,110,137
554,110,125
555,111,100
556,111,122
557,111,67
558,111,62
559,111,91
560,112,11
561,112,72
562,112,83
563,112,10
564,112,60
565,113,126
566,113,130
567,113,22
568,113,41
569,113,66
570,114,90
571,114,15
572,114,121
573,114,131
574,114,44
575,115,18
576,115,35
577,115,2
578,115,1
579,115,4
580,116,93
581,116,60
582,116,78
583,116,88
584,116,13
585,117,7
586,117,128
587,117,98
588,117,135
589,117,43
590,118,17
591,118,106
592,118,14
593,118,127
594,118,139
595,119,37
596,119,30
597,119,110
598,119,28
599,119,8
600,120,13
601,120,32
602,120,64
603,120,65
604,120,134
605,121,15
606,121,114
607,121,1
608,121,2
609,121,131
610,122,91
611,122,111
612,122,26
613,122,9
614,122,33
615,123,137
616,123,5
617,123,110
618,123,100
619,123,28
620,124,103
621,124,46
622,124,69
623,124,28
624,124,49
625,125,55
626,125,95
627,125,82
628,125,110
629,125,6
630,126,113
631,126,130
632,126,41
633,126,22
634,126,52
635,127,33
636,127,17
637,127,139
638,127,119
639,127,37
640,128,117
641,128,135
642,128,7
643,128,98
644,128,70
645,129,104
646,129,25
647,129,34
648,129,59
649,129,85
650,130,66
651,130,102
652,130,113
653,130,126
654,130,22
655,131,90
656,131,44
657,131,54
658,131,98
659,131,7
660,132,24
661,132,31
662,132,32
663,132,96
664,132,83
665,133,4
666,133,79
667,133,1
668,133,47
669,133,15
670,134,63
671,134,78
672,134,88
673,134,13
674,134,65
675,135,70
676,135,98
677,135,128
678,135,7
679,135,43
680,136,58
681,136,87
682,136,39
683,136,86
684,136,94
685,137,123
686,137,110
687,137,6
688,137,5
689,137,100
690,138,39
691,138,52
692,138,87
693,138,86
694,138,58
695,139,33
696,139,17
697,139,127
698,139,100
699,139,122
700,140,41
701,140,129
702,140,102
703,140,126
704,140,25
705,141,8
706,141,80
707,141,75
708,141,30
709,141,20
