,dst,src
106,118,106
106,66,106
106,62,106
107,84,107
107,113,107
107,41,107
107,130,107
107,36,107
108,118,108
108,59,108
108,68,108
108,34,108
108,112,108
109,12,109
109,18,109
109,68,109
109,108,109
109,118,109
110,86,110
110,37,110
110,36,110
110,28,110
110,94,110
111,5,111
111,127,111
111,62,111
111,123,111
111,137,111
112,68,112
112,59,112
112,118,112
112,1,112
112,108,112
113,36,113
113,107,113
113,80,113
113,52,113
113,130,113
114,4,114
114,38,114
114,121,114
114,90,114
114,64,114
115,96,115
115,83,115
115,47,115
115,31,115
115,15,115
116,32,116
116,124,116
116,62,116
116,40,116
116,43,116
117,65,117
117,54,117
117,43,117
117,55,117
117,82,117
118,108,118
118,17,118
118,68,118
118,106,118
118,127,118
119,28,119
119,50,119
119,30,119
119,6,119
119,8,119
120,70,120
120,78,120
120,13,120
120,38,120
120,135,120
121,4,121
121,114,121
121,15,121
121,90,121
121,38,121
122,130,122
122,22,122
122,132,122
122,33,122
122,100,122
123,137,123
123,5,123
123,28,123
123,69,123
123,111,123
124,63,124
124,103,124
124,88,124
124,116,124
124,46,124
125,48,125
125,95,125
125,39,125
125,76,125
125,30,125
126,130,126
126,29,126
126,33,126
126,132,126
126,41,126
127,62,127
127,66,127
127,111,127
127,5,127
127,50,127
128,31,128
128,81,128
128,135,128
128,120,128
128,35,128
129,20,129
129,104,129
129,2,129
129,34,129
129,1,129
130,126,130
130,33,130
130,132,130
130,66,130
130,29,130
131,44,131
131,88,131
131,54,131
131,63,131
131,124,131
132,66,132
132,100,132
132,130,132
132,50,132
132,127,132
133,121,133
133,15,133
133,114,133
133,4,133
133,72,133
134,11,134
134,13,134
134,10,134
134,78,134
134,70,134
135,35,135
135,70,135
135,120,135
135,13,135
135,7,135
136,94,136
136,46,136
136,0,136
136,110,136
136,58,136
137,123,137
137,5,137
137,28,137
137,32,137
137,110,137
138,95,138
138,55,138
138,125,138
138,52,138
138,39,138
139,106,139
139,17,139
139,132,139
139,127,139
139,66,139
140,102,140
140,41,140
140,132,140
140,130,140
140,58,140
141,6,141
141,30,141
141,86,141
141,119,141
141,62,141
