,0,1
0,0,1
1,0,0
2,0,2
3,0,3
4,0,5
5,1,2
6,1,5
7,1,8
8,1,6
9,1,3
10,2,8
11,2,6
12,2,5
13,2,9
14,2,14
15,3,6
16,3,5
17,3,9
18,3,19
19,3,16
20,4,11
21,4,7
22,4,10
23,4,13
24,4,15
25,5,6
26,5,9
27,5,8
28,5,12
29,5,22
30,6,9
31,6,5
32,6,8
33,6,16
34,6,19
35,7,11
36,7,10
37,7,13
38,7,23
39,7,15
40,8,16
41,8,20
42,8,6
43,8,9
44,8,22
45,9,6
46,9,16
47,9,19
48,9,22
49,9,26
50,10,11
51,10,13
52,10,15
53,10,23
54,10,38
55,11,10
56,11,13
57,11,15
58,11,23
59,11,38
60,12,18
61,12,17
62,12,26
63,12,33
64,12,22
65,13,15
66,13,11
67,13,10
68,13,24
69,13,31
70,14,17
71,14,18
72,14,12
73,14,26
74,14,20
75,15,13
76,15,24
77,15,31
78,15,72
79,15,35
80,16,20
81,16,22
82,16,19
83,16,30
84,16,29
85,17,26
86,17,18
87,17,33
88,17,14
89,17,12
90,18,26
91,18,12
92,18,17
93,18,33
94,18,22
95,19,22
96,19,29
97,19,32
98,19,26
99,19,28
100,20,30
101,20,22
102,20,17
103,20,28
104,20,33
105,21,27
106,21,47
107,21,35
108,21,101
109,21,81
110,22,26
111,22,33
112,22,29
113,22,28
114,22,30
115,23,38
116,23,11
117,23,72
118,23,15
119,23,10
120,24,31
121,24,35
122,24,51
123,24,47
124,24,83
125,25,34
126,25,37
127,25,59
128,25,42
129,25,36
130,26,33
131,26,18
132,26,22
133,26,29
134,26,41
135,27,64
136,27,98
137,27,60
138,27,38
139,27,92
140,28,32
141,28,30
142,28,33
143,28,48
144,28,50
145,29,36
146,29,33
147,29,41
148,29,50
149,29,37
150,30,28
151,30,37
152,30,36
153,30,52
154,30,33
155,31,35
156,31,47
157,31,24
158,31,83
159,31,81
160,32,28
161,32,48
162,32,50
163,32,43
164,32,67
165,33,29
166,33,50
167,33,36
168,33,41
169,33,28
170,34,59
171,34,37
172,34,25
173,34,36
174,34,42
175,35,70
176,35,31
177,35,81
178,35,83
179,35,60
180,36,37
181,36,41
182,36,50
183,36,29
184,36,55
185,37,36
186,37,34
187,37,75
188,37,55
189,37,52
190,38,64
191,38,90
192,38,78
193,38,72
194,38,93
195,39,54
196,39,37
197,39,61
198,39,44
199,39,55
200,40,62
201,40,66
202,40,50
203,40,46
204,40,59
205,41,36
206,41,91
207,41,50
208,41,66
209,41,68
210,42,45
211,42,61
212,42,97
213,42,87
214,42,85
215,43,67
216,43,50
217,43,69
218,43,65
219,43,48
220,44,54
221,44,88
222,44,63
223,44,56
224,44,39
225,45,42
226,45,79
227,45,71
228,45,97
229,45,61
230,46,40
231,46,56
232,46,62
233,46,63
234,46,88
235,47,96
236,47,101
237,47,83
238,47,81
239,47,115
240,48,56
241,48,55
242,48,65
243,48,82
244,48,54
245,49,44
246,49,39
247,49,74
248,49,54
249,49,55
250,50,67
251,50,66
252,50,69
253,50,62
254,50,91
255,51,60
256,51,83
257,51,93
258,51,35
259,51,81
260,52,55
261,52,95
262,52,75
263,52,37
264,52,36
265,53,45
266,53,79
267,53,74
268,53,58
269,53,71
270,54,76
271,54,56
272,54,65
273,54,82
274,54,86
275,55,82
276,55,76
277,55,95
278,55,89
279,55,86
280,56,54
281,56,65
282,56,48
