,0,1
0,0,5
1,0,6
2,0,28
3,0,30
4,0,37
5,0,40
6,0,42
7,0,46
8,0,48
9,0,56
10,0,58
11,0,69
12,0,75
13,0,76
14,0,86
15,0,94
16,0,102
17,0,103
18,0,110
19,0,119
20,0,123
21,0,125
22,0,127
23,0,136
24,0,137
25,1,2
26,1,34
27,1,40
28,1,59
29,1,68
30,1,85
31,1,97
32,1,102
33,1,108
34,1,112
35,1,129
36,2,1
37,2,34
38,2,36
39,2,37
40,2,40
41,2,42
42,2,59
43,2,75
44,2,102
45,2,108
46,2,129
47,3,19
48,3,22
49,3,82
50,3,89
51,4,15
52,4,38
53,4,70
54,4,90
55,4,114
56,4,121
57,5,0
58,5,6
59,5,22
60,5,28
61,5,32
62,5,33
63,5,50
64,5,62
65,5,66
66,5,69
67,5,86
68,5,94
69,5,100
70,5,110
71,5,111
72,5,123
73,5,127
74,5,130
75,5,137
76,6,0
77,6,5
78,6,28
79,6,29
80,6,30
81,6,32
82,6,36
83,6,40
84,6,48
85,6,50
86,6,55
87,6,56
88,6,62
89,6,66
90,6,69
91,6,76
92,6,82
93,6,86
94,6,94
95,6,95
96,6,100
97,6,110
98,6,111
99,6,119
100,6,123
101,6,125
102,6,127
103,6,136
104,6,137
105,6,141
106,7,38
107,7,70
108,7,120
109,7,134
110,7,135
111,8,9
112,8,20
113,8,30
114,8,36
115,8,46
116,8,52
117,8,58
118,8,75
119,8,80
120,8,91
121,8,110
122,8,119
123,8,141
124,9,8
125,9,16
126,9,22
127,9,26
128,9,28
129,9,29
130,9,30
131,9,33
132,9,36
133,9,50
134,9,67
135,9,91
136,9,100
137,9,110
138,9,119
139,9,126
140,9,130
141,10,11
142,10,13
143,10,23
144,10,72
145,10,98
146,10,134
147,11,10
148,11,13
149,11,23
150,11,60
151,11,72
152,11,98
153,11,134
154,12,68
155,12,108
156,12,118
157,13,10
158,13,11
159,13,35
160,13,38
161,13,60
162,13,64
163,13,70
164,13,78
165,13,93
166,13,98
167,13,99
168,13,120
169,13,134
170,13,135
171,14,68
172,15,4
173,15,35
174,15,60
175,15,70
176,15,114
177,15,120
178,15,121
179,16,9
180,16,36
181,16,52
182,16,80
183,17,33
184,17,62
185,17,66
186,17,68
187,17,106
188,17,118
189,17,127
190,17,139
191,18,130
192,19,3
193,19,22
194,20,8
195,20,30
196,20,36
197,20,37
198,20,52
199,20,58
200,20,80
201,20,129
202,21,92
203,22,3
204,22,5
205,22,9
206,22,19
207,22,26
208,22,33
209,22,41
210,22,50
211,22,91
212,22,100
213,22,122
214,22,123
215,22,126
216,22,130
217,22,132
218,22,137
219,23,10
220,23,11
221,23,72
222,23,98
223,25,80
224,26,9
225,26,22
226,26,28
227,26,29
228,26,33
229,26,50
230,26,66
231,26,67
232,26,69
233,26,91
234,26,100
235,26,119
