,0,1
0,0,1
1,0,0
2,0,2
3,0,3
4,0,5
5,1,2
6,1,5
7,1,6
8,1,3
9,1,8
10,2,6
11,2,5
12,2,8
13,2,9
14,2,16
15,3,5
16,3,6
17,3,9
18,3,8
19,3,19
20,4,11
21,4,10
22,4,13
23,4,15
24,4,7
25,5,6
26,5,9
27,5,8
28,5,12
29,5,19
30,6,8
31,6,5
32,6,9
33,6,16
34,6,19
35,7,10
36,7,11
37,7,13
38,7,23
39,7,15
40,8,6
41,8,9
42,8,16
43,8,20
44,8,19
45,9,16
46,9,19
47,9,8
48,9,22
49,9,26
50,10,11
51,10,13
52,10,15
53,10,23
54,10,7
55,11,10
56,11,13
57,11,15
58,11,23
59,11,32
60,12,17
61,12,22
62,12,26
63,12,33
64,12,29
65,13,15
66,13,11
67,13,23
68,13,32
69,13,24
70,14,18
71,14,24
72,14,31
73,14,15
74,14,25
75,15,23
76,15,13
77,15,32
78,15,11
79,15,38
80,16,20
81,16,22
82,16,26
83,16,17
84,16,30
85,17,33
86,17,22
87,17,12
88,17,29
89,17,30
90,18,24
91,18,31
92,18,47
93,18,35
94,18,32
95,19,26
96,19,22
97,19,33
98,19,30
99,19,29
100,20,30
101,20,37
102,20,36
103,20,28
104,20,29
105,21,47
106,21,71
107,21,81
108,21,92
109,21,27
110,22,26
111,22,33
112,22,29
113,22,30
114,22,41
115,23,15
116,23,27
117,23,38
118,23,32
119,23,44
120,24,18
121,24,31
122,24,32
123,24,35
124,24,43
125,25,47
126,25,35
127,25,105
128,25,54
129,25,77
130,26,22
131,26,33
132,26,29
133,26,30
134,26,50
135,27,51
136,27,38
137,27,64
138,27,72
139,27,60
140,28,46
141,28,30
142,28,40
143,28,36
144,28,37
145,29,41
146,29,33
147,29,50
148,29,36
149,29,30
150,30,36
151,30,33
152,30,52
153,30,37
154,30,28
155,31,35
156,31,47
157,31,43
158,31,81
159,31,83
160,32,43
161,32,35
162,32,65
163,32,64
164,32,60
165,33,29
166,33,50
167,33,30
168,33,41
169,33,40
170,34,59
171,34,37
172,34,40
173,34,42
174,34,68
175,35,43
176,35,70
177,35,83
178,35,60
179,35,78
180,36,37
181,36,52
182,36,55
183,36,39
184,36,58
185,37,36
186,37,34
187,37,52
188,37,75
189,37,40
190,38,44
191,38,54
192,38,64
193,38,63
194,38,88
195,39,55
196,39,48
197,39,36
198,39,82
199,39,76
200,40,62
201,40,66
202,40,46
203,40,34
204,40,59
205,41,29
206,41,80
207,41,50
208,41,36
209,41,91
210,42,45
211,42,68
212,42,79
213,42,84
214,42,59
215,43,65
216,43,35
217,43,78
218,43,70
219,43,60
220,44,38
221,44,54
222,44,64
223,44,63
224,44,88
225,45,42
226,45,79
227,45,68
228,45,97
229,45,104
230,46,40
231,46,56
232,46,58
233,46,36
234,46,37
235,47,81
236,47,83
237,47,96
238,47,115
239,47,101
240,48,55
241,48,76
242,48,82
243,48,39
244,48,56
245,49,74
246,49,61
247,49,53
248,49,56
249,49,39
250,50,62
251,50,67
252,50,66
253,50,91
254,50,69
255,51,60
256,51,72
257,51,112
258,51,116
259,51,83
260,52,55
261,52,36
262,52,37
263,52,75
264,52,95
265,53,74
266,53,61
267,53,87
268,53,49
269,53,138
270,54,63
271,54,90
272,54,64
273,54,88
274,54,78
275,55,48
276,55,82
277,55,52
278,55,39
279,55,76
280,56,82
281,56,48
282,56,55
